Name,University status,Motto,Notes
University of Buckingham,1983,Flying on our own Wings,"Founded as the University College at Buckingham in 1973. First private university in the UK, and the only one established by royal charter"
University of Ulster,1984,,Formed by the merger of the New University of Ulster (founded 1968) and Ulster Polytechnic; in 2014 it re-branded as Ulster University.
