Team 1,Score,Team 2,Total,Broadcast date
"Christ's College, Cambridge",white 50,180,"St John's College, Oxford",230
University of Manchester,175,white 30,"Queen's University, Belfast",205
Courtauld Institute of Art,150,white 100,"Goldsmiths, University of London",250
University of Nottingham,white 145,white 70,University of Sheffield,215
University of Central Lancashire,white 60,170,Loughborough University,230
Durham University,white 90,white 65,"Downing College, Cambridge",155
"New College, Oxford",white 110,white 60,University of Reading,170
