University,Endowment as of 2020 (£m),Endowment as of 2019 (£m),Endowment as of 2018 (£m),Endowment as of 2017 (£m),Endowment as of 2016 (£m),Endowment as of 2015 (£m),Endowment as of 2014 (£m),Endowment as of 2013 (£m),Endowment as of 2012 (£m),Endowment as of 2011 (£m)
University of Cambridge (inc colleges),£ n/a,"£ 7,121","£ 6,441.2",£ n/a,£ n/a,£ n/a,£ n/a,£ n/a,£ n/a,£ n/a
University of Oxford (inc colleges),£ n/a,"£ 6,100 https://www.ox.ac.uk/about/organisation/finance-and-funding?wssl=1","£ 5,592.2","£ 5,068.9","£ 4,702.1","£ 4,245.9","£ 4,033.1","£ 3,772.3","£ 3,721.8",£ n/a
