University,Endowment as of 2020 (£m),Endowment as of 2019 (£m),Endowment as of 2018 (£m),Endowment as of 2017 (£m),Endowment as of 2016 (£m),Endowment as of 2015 (£m),Endowment as of 2014 (£m),Endowment as of 2013 (£m),Endowment as of 2012 (£m),Endowment as of 2011 (£m)
School of Oriental and African Studies,£ 49.3,£ 51.2,£ 47.0,£ 42.2,£ 39.0,£ 35.4,£ 31.7,£ 20.8,£ 20.2,£ 20.0
University of Sheffield,£ 45.5,£ 46.0 https://www.sheffield.ac.uk/polopoly_fs/1.874389!/file/Annual-report-and-financial-statements-2018-2019.pdf,£ 43.8,£ 42.2,£ 39.7,£ 39.0,£ 37.8,£ 36.5,£ 32.8,£ 34.5
University of Exeter,,£ 40.7 http://www.exeter.ac.uk/media/universityofexeter/financeservices/pdfs/annualreport2018-2019.pdf,£ 38.2,£ 37.2,£ 32.5,£ 33.2,£ 30.3,£ 29.1,£ 23.5,£ 23.9
Cardiff University,£ 38.9,£ 38.2 https://www.cardiff.ac.uk/__data/assets/pdf_file/0008/1738880/CU_AnnualReviewAccounts2018-19-English.pdf,£ 34.5,£ 33.1,£ 30.3,£ 28.7,£ 27.5,£ 27.5,£ 25.1,£ 25.5
University of Strathclyde,,£ 37.8 https://www.strath.ac.uk/media/ps/finance/annualaccounts/Annual_Accounts_2018-19.pdf,£ 35.1,£ 33.1,£ 30.9,£ 28.9,£ 27.0,£ 26.8 http://www.strath.ac.uk/media/ps/finance/annualaccounts/Annual_Accounts_2012-13.pdf,£ 23.7 http://www.strath.ac.uk/media/ps/finance/annualaccounts/Financial_Statements_2012.pdf,£ 23.3 http://www.strath.ac.uk/media/ps/finance/annualaccounts/Annual_Accounts_2010-11.pdf
Aberystwyth University,,£ 36.6 https://www.aber.ac.uk/en/media/departmental/corporateinformation/financialaccounts/AU-Financial-Statements-2018-19-English-31-01-20.pdf,£ 43.3,£ 57.7,£ 48.4,£ 44.7,£ 43.0,£ 41.7,£ 38.0,£ 37.0
Queen Mary University of London,£ 37.3,£ 33.4 http://www.finance.qmul.ac.uk/media/finance/financialstatements/QMUL-2018-19-Financial-Statements.pdf,£ 34.1,£ 34.3,£ 34.7,£ 35.1,£ 32.8,£ 34.1,£ 30.8,£ 33.6
University of Dundee,,£ 31.3 https://www.dundee.ac.uk/media/dundeewebsite/finance/documents/financialstatements/Financial%20Statements_2018-19.pdf,£ 29.6,£ 28.3,£ 25.8,£ 25.0,£ 24.0,£ 23.1,£ 20.9,£ 20.3
