University,Location,Established,Number of students,Tuition fee,Degree powers
Northumbria University,Newcastle,1992 (1892),,"£9,250",Full
Norwich University of the Arts,Norwich,2012 (1845),,"£9,250",Taught
University of Nottingham,Nottingham,1948 (1881),,"£9,250",Full
Nottingham Trent University,Nottingham,1992 (1843),,"£9,250",Full
Open University,Milton Keynes,1969,101490,-,Full
University College of Osteopathy,London,– (1917),-,-,Taught
University of Oxford,Oxford,1096,,"£9,250",Full
Oxford Brookes University,Oxford,1992 (1970),,"£9,250",Full
Plymouth University,Plymouth,1992 (1862),,"£9,250",Full
University of Portsmouth,Portsmouth,1992 (1960),,"£9,250",Full
Ravensbourne University London,London,2018 (1962),-,-,Taught
University of Reading,Reading,1926 (1892),,"£9,250",Full
Regent's University London,London,2013 (1984),–,- (private),Taught
Roehampton University,Roehampton (London),2004 (1841),,"£9,250",Taught
Royal Agricultural University,Cirencester,2012 (1845),,"£9,250",Taught
University of Salford,Salford,1967,,"£9,250",Full
University of Sheffield,Sheffield,1905,,"£9,250",Full
Sheffield Hallam University,Sheffield,1992,,"£9,250",Full
University of Southampton,Southampton,1952 (1902),,"£9,250",Full
Southampton Solent University,Southampton,2005 (1984),,"£9,250",Full
University of St Mark & St John,Plymouth,2012 (1923),,"£9,250",Taught
"St Mary's University, Twickenham",Strawberry Hill (London),2014 (1850),,"£9,250",Taught
Staffordshire University,"Lichfield , Shrewsbury , Stafford , Stoke",1992,,"£9,250",Full
University of Suffolk,"Ipswich , Bury St Edmunds , Great Yarmouth , Lowestoft",2016 (2007),,"£9,250",Taught
University of Sunderland,Sunderland,1992 (1901),,"£9,250",Full
University of Surrey,Guildford,1966 (1891),,"£9,250",Full
University of Sussex,"Falmer , Brighton",1961,,"£9,250",Full
Teesside University,"Darlington , Middlesbrough",1992 (1930),,"£9,250",Full
University of Warwick,Coventry,1965,,"£9,250",Full
University of West London,"Brentford , Ealing (both London), Reading",1992,,"£9,250",Full
University of the West of England,Bristol,1992 (1595),,"£9,250",Full
University of Westminster,London,1992 (1838),,"£9,250",Full
University of Winchester,Winchester,2005 (1840),,"£9,250",Full
University of Wolverhampton,"Burton , Telford , Walsall , Wolverhampton",1992 (1969),,"£9,250",Full
University of Worcester,Worcester,1997,,"£9,250",Full
Writtle University College,Chelmsford,– (1893),,"£9,250",Taught
University of York,York,1963,,"£9,250",Full
York St John University,York,2006 (1841),,"£9,250",Full
