,Alumni,Long-term academic staff,Short-term academic staff
Physics,"Roger Penrose (MS, PhD) - 2020 David Thouless (MA) - 2016 Duncan Haldane (MA, PhD) - 2016 John M. Kosterlitz (MA) - 2016",Didier Queloz (Prof) - 2019*,Michel Mayor (Res) - 2019 <u>David Thouless</u> (Lect) - 2016
Chemistry,"Greg Winter (MA, PhD) - 2018 Richard Henderson (PhD) - 2017 Michael Levitt (PhD) - 2013 Roger Tsien (PhD) - 2008 Alan MacDiarmid (PhD) - 2000","<u>Greg Winter</u> (Fel, Trinity) - 2018* <u>Richard Henderson</u> (Fel, Darwin) - 2017 Venki Ramakrishnan (Fel, Trinity) - 2009",<u>Greg Winter</u> (PSD) - 2018 Joachim Frank (Sr. Res Asst) - 2017 Thomas Steitz (LMB PSD) - 2009 <u>Roger Tsien</u> (PSD) - 2008 Richard Schrock (PSD) - 2005
Physiology or Medicine,"Peter J. Ratcliffe (M.B, M.D) - 2019 Elizabeth Blackburn (PhD) - 2009 Martin Evans (MA) - 2007 John Sulston (MA, PhD) - 2002 Tim Hunt (MA, PhD) - 2001","John Gurdon (Prof) - 2012* Robert G. Edwards (Prof) - 2010* <u>Martin Evans</u> (Fel, St Edmund's) - 2007 Sydney Brenner (Fel, King's) - 2002",William Cecil Campbell (Vis Res) - 2015 <u>Robert G. Edwards</u> (Ford Res Fel) - 2010 Paul Greengard (PSD) - 2000
Economics,"Oliver S. Hart (MA) - 2016 Angus Deaton (MA, PhD) - 2015 Joseph Stiglitz (Grad Atten) - 2001",,"William Nordhaus (Sr. Vis) - 2018 <u>Oliver S. Hart</u> (Lect) - 2016 <u>Angus Deaton</u> (Overseas Fel, Churchill) - 2015 Peter Diamond (Overseas Fel, Churchill) - 2010 Eric Maskin (Res Fel, Jesus) - 2007 <u>Joseph Stiglitz</u> (Tapp Res Fel) - 2001"
Literature,,,Mario Vargas Llosa (Simón Bolívar Prof) - 2010
Peace,,,"Kim Dae-jung (Vis Fel, Clare Hall) - 2000"
