University,Endowment as of 2020 (£m),Endowment as of 2019 (£m),Endowment as of 2018 (£m),Endowment as of 2017 (£m),Endowment as of 2016 (£m),Endowment as of 2015 (£m),Endowment as of 2014 (£m),Endowment as of 2013 (£m),Endowment as of 2012 (£m),Endowment as of 2011 (£m)
University of Edinburgh,£ 487.7,459.9,£ 424.1,£ 392.1,£ 342.8,£ 317.2,£ 297.9,£ 283.5,£ 238.3,£ 236.5
King's College London,£ 252.2,£ 258.1,£ 233.5,£ 213.5,£ 194.1,£ 179.4,£ 162.6,£ 154.1,£ 130.8,£ 124.7
University of Manchester,£ 220.5,£ 238.4,£ 235.1,£ 222.2,£ 196.8,£ 188.9,£ 174.3,£ 169.2,£ 153.7,£ 158.7
London School of Economics,£ 198.4,£ 155.0,£ 141.6,£ 132.7,£ 119.2,£ 112.9,£ 97.2,£ 92.6,£ 83.2,£ 81.7
University of Glasgow,£ 177.2,£ 201.9,£ 200.6,£ 188.4,£ 170.9,£ 164.3,£ 157.8,£ 153.9,£ 129.5,£ 128.1
Imperial College London,£ N/A,£ 477,£ 157.1,£ 141.7,£ 126.2,£ 113.6,£ 98.0,£ 96.7,£ 79.1,£ 75.6
University of Liverpool,£ 168.3,£ 171.7,£ 167.1,£ 166.5,£ 155.8,£ 147.9,£ 141.7,£ 143.5,£ 137.9,£ 136.7
University College London,£ 143.2,£ 138.7,£ 118.0,£ 111.4,£ 101.0,£ 103.6,£ 90.5,£ 85.9,£ 72.4,£ 72.7
University of Birmingham,£ 116.7,£ 121.6,£ 120.3,£ 112.6,£ 103.8,£ 97.0,£ 90.1,£ 88.3,£ 83.5,£ 83.0
