тип нагружения,пневматическое рабочее тело - азот
испытательное давление,40 МПа с выдержкой 15 мин
промежуточные выдержки,при давлении 16 Мпаи 32 МПа длительностью по 10 мин
используемая аппаратура,32-х канальная система A-Line
