"наименование аппаратов, позиция по технологической схеме","Испаритель Э-1, ЭЭ-2, Э-3, Э-4"
назначение,для нагрева и испарения раствора диасфальтизатора в пропане
"давление рабочее (регламентное), МПа","1,2- трубное пространство, 3,0 - межтрубное пространство"
"температура рабочей среды (регламентная), С","250 - трубное пространство, 120 - межтрубное пространство"
рабочая среда,"пар - трубное пространство, раствор диасфальтзат+пропан - межтрубное пространство"
"давление настройки предохранительного клапана, МПа","3,3; 3,1"
