"Диаметр внутренний, мм",548
"Давление внутреннее избыточное расчетное, МПа","0,8"
"Температура расчетная, С",50
"Основной конструкционный материал ",09Г2С ГОСТ 5520
Коэффициент запаса прочности по приделу текучести при гидроиспытании,"1,1"
Коэффициент прочности сварного шва,1
"Допускаемое напряжение матриала при 20 С, МПа",196
"Допускаемое напряжение матриалы при расчетной температуре 50 С, МПа",188
"Прибавка для компенсации коррозии, мм","0,9"
"Минимальная толщина стенки по результатам толщинометрии с учетом минусового допуска и коррозии металла, мм","7,3"
