Наименование сварного соединения,"Тип соединения (стыковое, тавровое, угловое)","Вид сварки (ручная, автоматическая)","Электрод или сварочная проволока (ти, марка, стандарт)"
"Кольцевые и продольные сварные швы кожуха и камер, сварные швы штуцеров",стыковые и угловые,ручная электродуговая сварка,Э50А (УОНИ 13/55 ГОСТ 9467-75)
