Наименование сварного соединения,Тип соединения (стыковое тавровое угловое),Вид сварки (ручная автоматическая),Электрод или сварочная проволока (ти марка стандарт)
сварных соединений нет,сварных соединений нет,сварных соединений нет,сварных соединений нет			
