номер рассчитываемого пояса,0,1,2,3,4,5,6
"высота пояса резервуара, мм",400,1035,1475,1500,1475,1500,1475
"исполнительная толщина пояса стенки резервуара, мм",4,4,4,4,4,4,4
"расчетная толщина пояса сиенки резервуара, мм","2,865","2,72","2,06","1,6","1,14","0,679","0,213"
"минимально допустима толщина пояса стенки резервуара, мм","2,865","2,72","2,06",2,2,2,2
"минимальная фактичсекая толщина пояса стенки резервуара, мм","3,7","3,7","3,7","3,6","3,6","3,7","3,6"
