наименование определяемой величины и ее единицы,расчетная формула или обозначение,числовое значение
пробное давление гидроиспытания МПа,Рпр,48
допускаемое пробное давление. МПа,[Р],73.21
допускаемое напряжение при гидроиспытании МПа,[сигма],400.9
предел текучести материала при 20С МПа,сигма-г,441
коэффициент,бета,1.2
