наименование сварного соединения,тип соединения,вид сварки,"электрод или сварочная проволока (тип, марка, стандарт)"
"кольцевые и продольные швы корпуса, днище корпуса, конической и горловины обечайки, обечайки камеры",стыковое,автоматическая,сварочная проволока 67 ГОСТ 2
швы вварки штуцеров,угловое,ручная,электроды Э-1 ГОСТ 17
