конструктивный элемент,p МПа,D мм,Sф мм,а мм.год,с мм,[сигма] МПа,[p] МПа
днище эллиптическое (межтр.пр.),3,1600,24,0.1,1,165,4
днище эллиптическое (тр.пр.),1,900,10,0.1,1,162,4
