"Диаметр внутренний, мм",408
"Давление внутреннее избыточное расчетное, МПа","0,8"
"Температура расчетная, С",50
"Основной конструкционный материал ",Сталь 20 ГОСТ 8731
Коэффициент прочности сварного шва,1
"Допускаемое напряжение матриала при 20 С, МПа",147
"Допускаемое напряжение матриалы при расчетной температуре 50 С, МПа",145
"Прибавка для компенсации коррозии, мм",1
"Минимальная толщина стенки по результатам толщинометрии с учетом минусового допуска, мм","8,1"
