наименование элементов,"толщина, мм Sи","толщина, мм Sф","толщина, мм Sо"
межтрубное пространство,днище корпуса,24,"23,8",18
межтрубное пространство,обечайка корпуса,32,24,18
межтрубное пространство,обечайка коническая (кососимметричная),32,"32,7",20
межтрубное пространство,обечайка горловины,32,28,15
трубное пространство,обечайка распредкамеры,18,18,6
трубное пространство,днище распредкамеры,11,12,6
