конструктивный элемент,кол.шт.,диаметр внутренний мм,"длина, ширина (высота) мм",толщина стенки мм
обечайка цилиндрическая,1,1600,5300,24
обечайка распределительной камеры,1,900,362,20
обечайка кососимметричная,1,1600/900,1212,32
обечайка горловины,1,900,200,32
днище эллиптическое,1,1600,450,24
днище эллиптическое,1,900,250,10
