конструктивный элемент,D мм,p МПа,сигма МПа,s** мм,Sp мм,s* мм,Sф мм
днище эллиптическое (межтр.пр.),1600,3,165,24,18,18,24
днище эллиптическое (тр.пр.),900,1,162,10,4,4,12
